M10643A,IPHONE 16 PRO MAX 512GB NATURAL TITANIUM,195949805110,0,,,,,,
M10643B,CERTIFIED PRE-OWNED IPHONE 16 PRO MAX 512GB NATURAL TITANIUM,M10643B,0,,,,,,
M10644A,IPHONE 16 PRO MAX 1TB BLACK TITANIUM,195949805127,0,,,,,,
M10644B,CERTIFIED PRE-OWNED IPHONE 16 PRO MAX 1TB BLACK TITANIUM,M10644B,0,,,,,,
M10645A,IPHONE 16 PRO MAX 1TB WHITE TITANIUM,195949805134,0,,,,,,
M10645B,CERTIFIED PRE-OWNED IPHONE 16 PRO MAX 1TB WHITE TITANIUM,M10645B,0,,,,,,
M10646A,IPHONE 16 PRO MAX 1TB DESERT TITANIUM,195949805141,0,,,,,,
M10646B,CERTIFIED PRE-OWNED IPHONE 16 PRO MAX 1TB DESERT TITANIUM,810137491011,0,,,,,,
M10647A,IPHONE 16 PRO MAX 1TB NATURAL TITANIUM,195949805158,0,,,,,,
M10647B,CERTIFIED PRE-OWNED IPHONE 16 PRO MAX 1TB NATURAL TITANIUM,M10647B,0,,,,,,
M10650A,SAMSUNG GALAXY A15 5G (64 GB),887276912882,1,,,,,,
M10650B,CERTIFIED PRE-OWNED SAMSUNG GALAXY A15 5G (64 GB),M10650B,0,,,,,,
M10651A,SAMSUNG GALAXY A16 5G 128GB,887276929040,1,,,,,,
M10651B,CERTIFIED PRE-OWNED SAMSUNG GALAXY A16 5G 128GB,M10651B,0,,,,,,
M10652A,MOTO G 5G 2025 128GB FOREST GRAY,840023277085,10,,,,,,
M10652B,CERTIFIED PRE-OWNED MOTO G 5G 2025 128GB FOREST GRAY,M20652B,0,,,,,,
M10653A,SAMSUNG GALAXY S25 SILVER SHADOW 128GB,887276913698,0,,,,,,
M10653B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S25 SILVER SHADOW 128GB,M10653B,0,,,,,,
M10654A,SAMSUNG GALAXY S25 MINT 128GB,887276913902,0,,,,,,
M10654B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S25 MINT 128GB,M10654B,0,,,,,,
M10655A,SAMSUNG GALAXY S25 ICYBLUE 128GB,887276914114,1,,,,,,
M10655B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S25 ICYBLUE 128GB,M10655B,0,,,,,,
M10656A,SAMSUNG GALAXY S25 NAVY 128GB,887276914329,1,,,,,,
M10656B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S25 NAVY 128GB,M10656B,0,,,,,,
M10657A,SAMSUNG GALAXY S25+ SILVER SHADOW 256GB,887276916125,0,,,,,,
M10657B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S25+ SILVER SHADOW 256GB,M10657B,0,,,,,,
M10658A,SAMSUNG GALAXY S25+ NAVY 256GB,887276915982,1,,,,,,
M10658B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S25+ NAVY 256GB,M10658B,0,,,,,,
M10659A,SAMSUNG GALAXY S25 ULTRA TITANIUM BLACK 256GB,887276907123,1,,,,,,
M10659B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S25 ULTRA TITANIUM BLACK 256GB,M10659B,0,,,,,,
M10660A,SAMSUNG GALAXY S25 ULTRA TITANIUM SILVERBLUE 256GB,887276916774,3,,,,,,
M10660B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S25 ULTRA TITANIUM SILVERBLUE 256GB,M10660B,0,,,,,,
M10661A,SAMSUNG GALAXY S25 ULTRA TITANIUM SILVERBLUE 512GB,887276916705,1,,,,,,
M10661B,CERTIFIED PRE-OWNED SAMSUNG GALAXY S25 ULTRA TITANIUM SILVERBLUE 512GB,M10662B,0,,,,,,
M10662A,IPHONE 16E 128GB BLACK,195950051629,4,,,,,,
M10662B,CERTIFIED PRE-OWNED IPHONE 16E 128GB BLACK,M10662B,0,,,,,,
M10663A,IPHONE 16E 128GB WHITE,195950051636,0,,,,,,
M10663B,CERTIFIED PRE-OWNED IPHONE 16E 128GB WHITE,M10663B,0,,,,,,
M10664A,IPHONE 16E 256GB BLACK,195950051643,0,,,,,,
M10664B,CERTIFIED PRE-OWNED IPHONE 16E 256GB BLACK,M10664B,0,,,,,,
M10665A,IPHONE 16E 256GB WHITE,195950051650,0,,,,,,
M10665B,CERTIFIED PRE-OWNED IPHONE 16E 256GB WHITE,M10665B,0,,,,,,
M10666A,IPHONE 16E 512GB BLACK,195950051667,0,,,,,,
M10666B,CERTIFIED PRE-OWNED IPHONE 16E 512GB BLACK,M10666B,0,,,,,,
M10667A,IPHONE 16E 512GB WHITE,195950051674,0,,,,,,
M10667B,CERTIFIED PRE-OWNED IPHONE 16E 512GB WHITE,M10667B,0,,,,,,
M10668A,SAMSUNG GALAXY A26 5G 128GB,887276989211,3,,,,,,
M10668B,CERTIFIED PRE-OWNED SAMSUNG GALAXY A26 5G 128GB,M10668B,0,,,,,,
M10669A,GALAXY S25 EDGE 256GB TITANIUM SILVER,198957072260,0,,,,,,
M10669B,CERTIFIED PRE-OWNED GALAXY S25 EDGE 256GB TITANIUM SILVER,M10669B,0,,,,,,
M10670A,MOTOROLA RAZR 2025 256GB - GIBRALTAR SEA,840023291371,1,,,,,,
M10670B,CERTIFIED PRE-OWNED MOTOROLA RAZR 2025 256GB - GIBRALTAR SEA,M10670B,0,,,,,,
M10671A,MOTO G STYLUS 2025 GIBRALTAR SEA,840493601120,0,,,,,,
M10671B,CERTIFIED PRE-OWNED MOTO G STYLUS 2025 GIBRALTAR SEA,M10671B,0,,,,,,
T10001A,10.9-INCH IPAD WI-FI + CELLULAR 256GB - SILVER,194253363361,0,,,,,,
T10002A,10.9-INCH IPAD AIR WI-FI + CELLULAR 64GB - SPACE GRAY,194252806203,0,,,,,,
T10003A,11-INCH IPAD PRO WI-FI + CELLULAR 128GB - SPACE GRAY,194253248439,0,,,,,,
T10004A,12.9-INCH IPAD PRO WI?FI + CELLULAR 128GB - SPACE GRAY,194253267225,0,,,,,,
T10005A,10.9-INCH IPAD WI-FI + CELLULAR 256GB - BLUE,194253363651,0,,,,,,
T10006A,10.9-INCH IPAD WI-FI + CELLULAR 64GB - SILVER,194253361046,0,,,,,,
T10006B,CERTIFIED PRE-OWNED 10.9-INCH IPAD WI-FI + CELLULAR 64GB - SILVER,T10006B,0,,,,,,
T10007A,10.9-INCH IPAD WI-FI + CELLULAR 64GB - BLUE,194253361336,0,,,,,,
T10007B,CERTIFIED PRE-OWNED 10.9-INCH IPAD WI-FI + CELLULAR 64GB - BLUE,T10007B,0,,,,,,
T10008A,10.9-INCH IPAD WI-FI + CELLULAR 64GB - YELLOW,194253361626,0,,,,,,
T10009A,10.9-INCH IPAD WI-FI + CELLULAR 64GB - PINK,194253361916,0,,,,,,
T10010A,11-INCH IPAD AIR WI-FI + CELLULAR 128GB - SPACE GRAY,195949204074,0,,,,,,
T10010B,CERTIFIED PRE-OWNED 11-INCH IPAD AIR WI-FI + CELLULAR 128GB - SPACE GRAY,T10010B,0,,,,,,
T10011A,11-INCH IPAD AIR WI-FI + CELLULAR 256GB - SPACE GRAY,195949205118,0,,,,,,
T10012A,13-INCH IPAD AIR WI-FI + CELLULAR 128GB - SPACE GRAY,195949266096,0,,,,,,
T10012B,CERTIFIED PRE-OWNED 13-INCH IPAD AIR WI-FI + CELLULAR 128GB - SPACE GRAY,T10012B,0,,,,,,
T10013A,13-INCH IPAD AIR WI-FI + CELLULAR 256GB - SPACE GRAY,195949267178,0,,,,,,
T10014A,13-INCH IPAD PRO WIFI + CELLULAR 256GB WITH STANDARD GLASS - SILVER,195949245541,1,,,,,,
T10014B,CERTIFIED PRE-OWNED 13-INCH IPAD PRO WIFI + CELLULAR 256GB WITH STANDARD GLASS - SILVER,T10014B,0,,,,,,
T10015A,11-INCH IPAD PRO WIFI + CELLULAR 512GB WITH STANDARD GLASS - SPACE BLACK,195949229541,0,,,,,,
T10016A,11-INCH IPAD PRO WIFI + CELLULAR 256GB WITH STANDARD GLASS - SPACE BLACK,195949228964,0,,,,,,
T10016B,CERTIFIED PRE-OWNED 11-INCH IPAD PRO WIFI + CELLULAR 256GB WITH STANDARD GLASS - SPACE BLACK,T10016B,0,,,,,,
T10017A,11-INCH IPAD PRO WIFI + CELLULAR 256GB WITH STANDARD GLASS - SILVER,195949229251,0,,,,,,
T10017B,CERTIFIED PRE-OWNED 11-INCH IPAD PRO WIFI + CELLULAR 256GB WITH STANDARD GLASS - SILVER,T10017B,0,,,,,,
T10018A,IPAD MINI WI-FI + CELLULAR 64GB - SPACE GRAY,194252507605,0,,,,,,
T10018B,CERTIFIED PRE-OWNED IPAD MINI WI-FI + CELLULAR 64GB - SPACE GRAY,T10018B,0,,,,,,
T10019A,10.9-INCH IPAD WI-FI + CELLULAR 256GB - YELLOW,194253363941,0,,,,,,
T10020A,10.9-INCH IPAD WI-FI + CELLULAR 256GB - PINK,194253364238,0,,,,,,
T10021A,11-INCH IPAD AIR WI-FI + CELLULAR 128GB - BLUE,195949204333,0,,,,,,
T10021B,CERTIFIED PRE-OWNED 11-INCH IPAD AIR WI-FI + CELLULAR 128GB - BLUE,T10021B,0,,,,,,
T10022A,11-INCH IPAD AIR WI-FI + CELLULAR 128GB - STARLIGHT,195949204593,0,,,,,,
T10022B,CERTIFIED PRE-OWNED 11-INCH IPAD AIR WI-FI + CELLULAR 128GB - STARLIGHT,T10022B,0,,,,,,
T10023A,11-INCH IPAD AIR WI-FI + CELLULAR 128GB - PURPLE,195949204852,0,,,,,,
T10023B,CERTIFIED PRE-OWNED 11-INCH IPAD AIR WI-FI + CELLULAR 128GB - PURPLE,T10023B,0,,,,,,
T10024A,11-INCH IPAD AIR WI-FI + CELLULAR 256GB - BLUE,195949205378,0,,,,,,
T10025A,11-INCH IPAD AIR WI-FI + CELLULAR 256GB - STARLIGHT,195949205637,0,,,,,,
T10026A,11-INCH IPAD AIR WI-FI + CELLULAR 256GB - PURPLE,195949205897,0,,,,,,
T10027A,13-INCH IPAD AIR WI-FI + CELLULAR 128GB - BLUE,195949266362,0,,,,,,
T10027B,CERTIFIED PRE-OWNED 13-INCH IPAD AIR WI-FI + CELLULAR 128GB - BLUE,T10027B,0,,,,,,
T10028A,13-INCH IPAD AIR WI-FI + CELLULAR 128GB - STARLIGHT,195949266638,0,,,,,,
T10028B,CERTIFIED PRE-OWNED 13-INCH IPAD AIR WI-FI + CELLULAR 128GB - STARLIGHT,T10028B,0,,,,,,
T10029A,13-INCH IPAD AIR WI-FI + CELLULAR 128GB - PURPLE,195949266904,0,,,,,,
T10029B,CERTIFIED PRE-OWNED 13-INCH IPAD AIR WI-FI + CELLULAR 128GB - PURPLE,T10029B,0,,,,,,
T10030A,13-INCH IPAD AIR WI-FI + CELLULAR 256GB - BLUE,195949267444,0,,,,,,
T10031A,13-INCH IPAD AIR WI-FI + CELLULAR 256GB - STARLIGHT,195949267710,0,,,,,,
T10032A,13-INCH IPAD AIR WI-FI + CELLULAR 256GB - PURPLE,195949267987,0,,,,,,
T10033A,13-INCH IPAD PRO WIFI + CELLULAR 512GB WITH STANDARD GLASS - SPACE BLACK,195949245848,0,,,,,,
T10034A,13-INCH IPAD PRO WIFI + CELLULAR 256GB WITH STANDARD GLASS - SPACE BLACK,195949245244,1,,,,,,
T10034B,CERTIFIED PRE-OWNED 13-INCH IPAD PRO WIFI + CELLULAR 256GB WITH STANDARD GLASS - SPACE BLACK,T10034B,0,,,,,,
T10035A,IPAD MINI WI-FI + CELLULAR 64GB - STARLIGHT,194252508183,0,,,,,,
T10036A,IPAD MINI WI-FI + CELLULAR 64GB - PURPLE,194252508763,0,,,,,,
T10036B,CERTIFIED PRE-OWNED IPAD MINI WI-FI + CELLULAR 64GB - PURPLE,T10036B,0,,,,,,
T10037A,IPAD MINI WI-FI + CELLULAR 64GB - PINK,194252726853,0,,,,,,
T10040A,IPAD MINI WI-FI + CELLULAR 128GB - SPACE GRAY,195949755217,0,,,,,,
T10040B,CERTIFIED PRE-OWNED IPAD MINI WI-FI + CELLULAR 128GB - SPACE GRAY,T10040B,0,,,,,,
T10041A,IPAD MINI WI-FI + CELLULAR 128GB - BLUE,195949755460,0,,,,,,
T10042A,IPAD MINI WI-FI + CELLULAR 128GB - STARLIGHT,195949755712,0,,,,,,
T10043A,IPAD MINI WI-FI + CELLULAR 128GB - PURPLE,195949755965,0,,,,,,
T10043B,CERTIFIED PRE-OWNED IPAD MINI WI-FI + CELLULAR 128GB - PURPLE,T10043B,0,,,,,,
T10044A,IPAD MINI WI-FI + CELLULAR 256GB - SPACE GRAY,195949756214,0,,,,,,
T10045A,IPAD MINI WI-FI + CELLULAR 256GB - BLUE,195949756467,0,,,,,,
T10046A,IPAD MINI WI-FI + CELLULAR 256GB - STARLIGHT,195949756719,0,,,,,,
T10047A,IPAD MINI WI-FI + CELLULAR 256GB - PURPLE,195949756962,0,,,,,,
T10048A,IPAD MINI WI-FI + CELLULAR 512GB - SPACE GRAY,195949757280,0,,,,,,
T10049A,IPAD MINI WI-FI + CELLULAR 512GB - BLUE,195949757501,0,,,,,,
T10050A,IPAD MINI WI-FI + CELLULAR 512GB - STARLIGHT,195949757723,0,,,,,,
T10051A,IPAD MINI WI-FI + CELLULAR 512GB - PURPLE,195949757945,0,,,,,,
T10052A,IPAD  (A16)   128GB - SILVER,195950146745,2,Duplicate,Correct item number,,,,
T10052B,CERTIFIED PRE-OWNED IPAD  (A16)   128GB - SILVER,T10052B,0,,,,,,
T10052P,IPAD  (A16)   128GB - SILVER,195950146745,2,Duplicate,,,,,
T10053A,IPAD (A16) BLUE 128GB,195950146752,1,,,,,,
T10053B,CERTIFIED PRE-OWNED IPAD (A16) BLUE 128GB,T10053B,0,,,,,,
T10054A,11-INCH IPAD WI-FI + CELLULAR 128GB - YELLOW,195950146769,0,,,,,,
T10055A,11-INCH IPAD WI-FI + CELLULAR 128GB - PINK,195950146776,0,,,,,,
T10056A,11-INCH IPAD WI-FI + CELLULAR 256GB - SILVER,195950146783,0,,,,,,
T10057A,11-INCH IPAD WI-FI + CELLULAR 256GB - BLUE,195950146790,0,,,,,,
T10058A,11-INCH IPAD WI-FI + CELLULAR 256GB - YELLOW,195950146806,0,,,,,,
T10059A,11-INCH IPAD WI-FI + CELLULAR 256GB - PINK,195950146813,0,,,,,,
T10060A,11-INCH IPAD WI-FI + CELLULAR 512GB - SILVER,195950146820,0,,,,,,
T10061A,11-INCH IPAD WI-FI + CELLULAR 512GB - BLUE,195950146837,0,,,,,,
T10062A,11-INCH IPAD WI-FI + CELLULAR 512GB - YELLOW,195950146844,0,,,,,,
T10063A,11-INCH IPAD WI-FI + CELLULAR 512GB - PINK,195950146851,0,,,,,,
T10064A,IPAD AIR 11-INCH (M3)128GB SPACE GRAY,195949986215,0,,,,,,
T10064B,CERTIFIED PRE-OWNED IPAD AIR 11-INCH (M3)128GB SPACE GRAY,T10064B,0,,,,,,
T10065A,IPAD AIR 11-INCH (M3)128GB BLUE,195949986437,0,,,,,,
T10065B,CERTIFIED PRE-OWNED IPAD AIR 11-INCH (M3)128GB BLUE,T10065B,0,,,,,,
T10066A,11-INCH IPAD AIR WI-FI + CELLULAR 128GB - STARLIGHT,195949986659,0,,,,,,
T10067A,11-INCH IPAD AIR WI-FI + CELLULAR 128GB - PURPLE,195949986871,0,,,,,,
T10068A,11-INCH IPAD AIR WI-FI + CELLULAR 256GB - SPACE GRAY,195949987090,0,,,,,,
T10069A,11-INCH IPAD AIR WI-FI + CELLULAR 256GB - BLUE,195949987311,0,,,,,,
T10070A,11-INCH IPAD AIR WI-FI + CELLULAR 256GB - STARLIGHT,195949987533,0,,,,,,
T10071A,11-INCH IPAD AIR WI-FI + CELLULAR 256GB - PURPLE,195949987755,0,,,,,,
T10072A,11-INCH IPAD AIR WI-FI + CELLULAR 512GB - SPACE GRAY,195949987977,0,,,,,,
T10073A,11-INCH IPAD AIR WI-FI + CELLULAR 512GB - BLUE,195949988196,0,,,,,,
T10074A,11-INCH IPAD AIR WI-FI + CELLULAR 512GB - STARLIGHT,195949988417,0,,,,,,
T10075A,11-INCH IPAD AIR WI-FI + CELLULAR 512GB - PURPLE,195949988639,0,,,,,,
T10076A,11-INCH IPAD AIR WI-FI + CELLULAR 1TB - SPACE GRAY,195949988851,0,,,,,,
T10077A,11-INCH IPAD AIR WI-FI + CELLULAR 1TB - BLUE,195949989070,0,,,,,,
T10078A,11-INCH IPAD AIR WI-FI + CELLULAR 1TB - STARLIGHT,195949989292,0,,,,,,
T10079A,11-INCH IPAD AIR WI-FI + CELLULAR 1TB - PURPLE,195949989513,0,,,,,,
T10080A,13-INCH IPAD AIR WI-FI + CELLULAR 128GB - SPACE GRAY,195949963827,0,,,,,,
T10081A,IPAD AIR 13-INCH (M3) 128GB BLUE,195949964053,0,,,,,,
T10081B,CERTIFIED PRE-OWNED IPAD AIR 13-INCH (M3) 128GB BLUE,T10081B,0,,,,,,
T10082A,13-INCH IPAD AIR WI-FI + CELLULAR 128GB - STARLIGHT,195949964282,0,,,,,,
T10083A,13-INCH IPAD AIR WI-FI + CELLULAR 128GB - PURPLE,195949964510,0,,,,,,
T10084A,13-INCH IPAD AIR WI-FI + CELLULAR 256GB - SPACE GRAY,195949964749,0,,,,,,
T10085A,13-INCH IPAD AIR WI-FI + CELLULAR 256GB - BLUE,195949964978,0,,,,,,
T10086A,13-INCH IPAD AIR WI-FI + CELLULAR 256GB - STARLIGHT,195949965203,0,,,,,,
T10087A,13-INCH IPAD AIR WI-FI + CELLULAR 256GB - PURPLE,195949965432,0,,,,,,
T10088A,13-INCH IPAD AIR WI-FI + CELLULAR 512GB - SPACE GRAY,195949965661,0,,,,,,
T10089A,13-INCH IPAD AIR WI-FI + CELLULAR 512GB - BLUE,195949965890,0,,,,,,
T10090A,13-INCH IPAD AIR WI-FI + CELLULAR 512GB - STARLIGHT,195949966125,0,,,,,,
T10091A,13-INCH IPAD AIR WI-FI + CELLULAR 512GB - PURPLE,195949966354,0,,,,,,
T10092A,13-INCH IPAD AIR WI-FI + CELLULAR 1TB - SPACE GRAY,195949966583,0,,,,,,
T10093A,13-INCH IPAD AIR WI-FI + CELLULAR 1TB - BLUE,195949966811,0,,,,,,
T10094A,13-INCH IPAD AIR WI-FI + CELLULAR 1TB - STARLIGHT,195949967047,0,,,,,,
T10095A,13-INCH IPAD AIR WI-FI + CELLULAR 1TB - PURPLE,195949967276,0,,,,,,
